Gencod (EAN);IFLS;Désignation;Regle;Code. Fourn.;Fournisseur
3240930313505;108428;350G FETTUCINI LUST                ;;00038069;LUSTUCRU  
8007303205059;648833;500G LINGUINE POCHON               ;Cde 20 col grop;00097017;AMBROSI   
8007303012176;S82615;500G PAPPARDELLE                   ;Cde 20 col grop;00097017;AMBROSI   
8007303013579;S66971;200G GRANRAV RICOT EPI SS GLUTEN   ;Cde 20 col grop;00097017;AMBROSI   
3560071076313;S94523;200G RAVIOLE RCIOTA/EPINARD SS GLUT;Cde 20 col grop;00097017;AMBROSI   
3240931534879;S74722;250G 1/2 LUNES AUBERG/MOZZA        ;;00038069;LUSTUCRU  
8003427012047;S54898;250G BOCCONCINI AU JAMBON CRU      ;;00099093;BERNI     
3240931537139;S74723;250G DEMI LUNE CEPE/PARMESAN       ;;00038069;LUSTUCRU  
3240931542591;S02449;250G DEMI LUNE CHEVRE              ;;00038069;LUSTUCRU  
3240931542584;S02445;250G DEMI LUNE FETA/OLIVE          ;;00038069;LUSTUCRU  
8007303012923;S99028;250G DIAMANTI JAMBON PARME AOP/PARM;Cde 20 col grop;00097017;AMBROSI   
8007303009527;S62859;250G GRAND RAVIOLI CEPES           ;Cde 20 col grop;00097017;AMBROSI   
3560070602735;800643;250G GRAND RAVIOLI CEPES CRF       ;;00088642;LOGIDIS FR
8007303012008;T87200;250G GRAND RAVIOLI LEGUMES GRILLES ;Cde 20 col grop;00097017;AMBROSI   
3560070401031;798888;250G LUNE MOZZA TOMATE CRF         ;;00088642;LOGIDIS FR
3240931541136;S86252;250G RAVIOLI LEERDEMMER            ;;00038069;LUSTUCRU  
8003427012122;S54897;250G TORTELONI RICOTTA/EPINARD     ;;00099093;BERNI     
3240931538204;S74765;280G RAVIOLES À POELER FROMAGE     ;;00038069;LUSTUCRU  
3240930007787;108733;300G DEMI LUNE TOMATE BASILIC LUST ;;00038069;LUSTUCRU  
3560070602681;365186;300G FETTUCINI CRF                 ;;00088642;LOGIDIS FR
3240930000801;108591;300G RAVIOLI 4 FROMAGES LUSTUCRU   ;;00038069;LUSTUCRU  
3240930116120;S08872;300G RAVIOLI BOEUF                 ;;00038069;LUSTUCRU  
3240931533841;879735;300G RAVIOLI BOEUF BOLOGNAISE      ;;00038069;LUSTUCRU  
3240932422359;108651;300G RAVIOLI JAMBON                ;;00038069;LUSTUCRU  
3240932425206;297563;300G RAVIOLI JAMBON FROMAGE LUST   ;;00038069;LUSTUCRU  
3240931539560;S74721;500G RAVIOLI BOLO MAXI             ;;00038069;LUSTUCRU  
3240931541808;S86253;250G GIRASOLI AUBERGINE            ;;00038069;LUSTUCRU  
3240931541822;S86255;250G GIRASOLI CEPES                ;;00038069;LUSTUCRU  
3240931541815;S86254;250G GIRASOLI GORGONZOLA           ;;00038069;LUSTUCRU  
3240931539256;S86258;250G GIRASOLI JAMBON SPECK         ;;00038069;LUSTUCRU  
3240931542133;S86256;250G GIRASOLI LEGUMES GRILLES      ;;00038069;LUSTUCRU  
3240931533049;S99839;250G TORTELLINI CEPES/GIROLLE LUST ;;00038069;LUSTUCRU  
8007303010226;S38873;250G TORTELLINI GD TOMATE SECHEE MO;Cde 20 col grop;00097017;AMBROSI   
3240931531021;530583;250G TORTELLINI JBN CRU/PARMESAN   ;;00038069;LUSTUCRU  
3240931536187;048629;250G TORTELLINI LARDON/CHEVRE      ;;00038069;LUSTUCRU  
8007303009411;648822;250G TORTELLINI RICCOTTA EPINARD   ;Cde 20 col grop;00097017;AMBROSI   
8007303005581;S62858;250G TORTELLONE FROMAGES           ;Cde 20 col grop;00097017;AMBROSI   
8007303009657;089068;250G TORTELLONE PARMESAN BASIL     ;Cde 20 col grop;00097017;AMBROSI   
8003427015017;S40407;2X200G TORTELLONI                  ;;00099093;BERNI     
3245411400729;874245;300G TORTELLI.CHEVR.EPINAR.CRF     ;;00088642;LOGIDIS FR
3240930613001;108377;300G TORTELLINI BOEUF              ;;00038069;LUSTUCRU  
3245414575967;795791;300G GNOCCHI A POELLLER CRF        ;;00088642;LOGIDIS FR
8007303013340;S66972;400G GNOCCHI PDT SS GLUTEN         ;Cde 20 col grop;00097017;AMBROSI   
3270190204008;965938;230G FEUILLETEE ROULEE PB CRF      ;Cde 8 col grop;00016691;CERELIA   
3560070959686;S60515;230G PATE FEUILLETEE PP BLANC      ;Cde 8 col grop;00016691;CERELIA   
3392590201576;S54225;230G PATE FEUILLETEE ROULEE CROUSTI;Cde 8 col grop;00016691;CERELIA   
3392590203662;S66959;280G PATE FEUIL.ROULE SS GLUTEN    ;Cde 8 col grop;00016691;CERELIA   
3270190022527;551715;230G PATE BRISEE ETALEE CRF        ;Cde 8 col grop;00016691;CERELIA   
3560070959716;S60516;230G PATE BRISEE PP B              ;Cde 8 col grop;00016691;CERELIA   
3392590201583;S54226;230G PATE BRISEE ROULE CROUSTIPA   ;Cde 8 col grop;00016691;CERELIA   
3392590203679;S66960;230G PATE BRISEE ROULEE SS GLUTEN  ;Cde 8 col grop;00016691;CERELIA   
3270190022534;551714;230G PATE FEUILLETE ETALEE CRF     ;Cde 8 col grop;00016691;CERELIA   
3270190204015;978317;230G PATE PB BRISEE ROULE CRF      ;Cde 8 col grop;00016691;CERELIA   
7613035200807;936430;235G PATE BRISEE HERTA             ;;00088642;LOGIDIS FR
3245411307769;T82675;230G PATE SABLEE CARREFOUR         ;Cde 8 col grop;00016691;CERELIA   
3392590202719;565047;280G PATE SABLEE ROULEE PB         ;Cde 8 col grop;00016691;CERELIA   
3245412801013;936622;260G PATE A PIZZA CRF              ;Cde 8 col grop;00016691;CERELIA   
3392590203686;S66961;260G PATE PIZZA ROUL SS GLUTEN     ;Cde 8 col grop;00016691;CERELIA   
3560070367221;S66857;385G PATE PIZZA ROUL CRF           ;Cde 8 col grop;00016691;CERELIA   
3392590203297;S66856;550G PATE A PIZZA ROULEAU CROUSTIPA;Cde 8 col grop;00016691;CERELIA   
3392590313019;499504;600G KIT PIZZA CROUTI CROUST       ;Cde 8 col grop;00016691;CERELIA   
3392590203143;678244;600G KIT PIZZA PATE EP.CROUSTI     ;;00088642;LOGIDIS FR
3560070454778;654197;136G FEUILLE BRICK PLIEE X8 GJ     ;;00088642;LOGIDIS FR
3392590202467;623096;136G FEUILLE DE BRICK A PLAT X8    ;Cde 8 col grop;00016691;CERELIA   
3392590202450;623991;136G FEUILLE DE BRICK PLIE X8      ;Cde 8 col grop;00016691;CERELIA   
3560070454747;698499;136G FEUILLE DE BRICK PLIE X8 CRF  ;;00088642;LOGIDIS FR
3392590203723;S61199;240G CARRE PATE FEUILLETE X4 CROUST;Cde 8 col grop;00016691;CERELIA   
3392596004218;S66844;250G PATE A FILO CROUSTIPATE       ;Cde 8 col grop;00016691;CERELIA   
3392590202399;044811;240G CROISSANT X4  CROUST          ;Cde 8 col grop;00016691;CERELIA   
3392590202405;044865;290G PAIN  CHOCOLAT X8 CROUST      ;Cde 8 col grop;00016691;CERELIA   
7290014746336;S00369;100G BLANC DE DINDE BRAISE OF TOV  ;;00097578;MAAYANE   
7290014746695;S00370;100G FILET POULET OF TOV           ;;00097578;MAAYANE   
7290014746350;S00358;100G PASTRAMI DE DINDE OF TOV      ;;00097578;MAAYANE   
7290014746343;S00351;100G POITRINE DE DINDE OF TOV      ;;00097578;MAAYANE   
3700029205116;S00413;100G TARAMA MAAYANE                ;;00097578;MAAYANE   
3700029205628;S00425;120G AUBERGINE A LA GRECQUE        ;;00097578;MAAYANE   
3700029205550;S00418;120G HOUMOUS LIBANAIS              ;;00097578;MAAYANE   
7290014746374;S00349;125G CHIFFONNADE BLANC DE DINDE OF ;;00097578;MAAYANE   
7290014746824;S00338;125G CHIFFONNADE POITRINDE DINDE OF;;00097578;MAAYANE   
3700029205895;S00395;130G SAUCISSON SEC SKIN BUCHINGER  ;;00097578;MAAYANE   
8711528199818;S00453;160G EDAM TRANCHE LIGHT            ;;00097578;MAAYANE   
3227130705590;S00440;160G EMMENTAL TRANCHETTE           ;;00097578;MAAYANE   
8711528599717;S00447;160G GOUDA LIGHT TRANCHE           ;;00097578;MAAYANE   
8711528699011;S00445;160G HAVARTI TRANCHE LIGHT         ;;00097578;MAAYANE   
8711528595016;S00455;160G MIMOLETTE TRANCHE             ;;00097578;MAAYANE   
3700029203815;S00432;170G FEUILLE DE BRICK              ;;00097578;MAAYANE   
3700029206038;S00438;180G TZATZIKI                      ;;00097578;MAAYANE   
3700029201132;S00417;200G BATONNET SURIMI               ;;00097578;MAAYANE   
3700029205673;S00431;200G CAROTTE A L ORIENTALE         ;;00097578;MAAYANE   
3700029205659;S00426;200G CAVIAR AUBERGINE              ;;00097578;MAAYANE   
3700029203495;S00415;200G HARENG EMINCE                 ;;00097578;MAAYANE   
7290014746879;S00377;200G KABANOS OF TOV                ;;00097578;MAAYANE   
3700029205666;S00427;200G POIVRONS OLIVES               ;;00097578;MAAYANE   
7290014746862;S00373;250G BLANC DE DINDE OF TOV         ;;00097578;MAAYANE   
7290014746848;S00371;250G BLANC POULET BRAISE OF TOV    ;;00097578;MAAYANE   
7290014746855;S00372;250G POITRINE DE DINDE OF TOV      ;;00097578;MAAYANE   
7290014746886;S00383;250G SAUCISSES VIENNOISES OF TOB   ;;00097578;MAAYANE   
7290014747289;S00386;400G KNACKS DE VOLAILLES           ;;00097578;MAAYANE   
3033615778320;S06879;0,9/1,3 SAUMON FUME ATL.TR S/PEAU B;;00096768;LABEYRIE  
3033610079651;S06503;100G SAUMON FUME ATL FISH AVEN **  ;;00096768;LABEYRIE  
3560070195893;S26728;100G SAUMON FUME ATL PP BLANC      ;;00096768;LABEYRIE  
3033617171761;S10454;150G SAUMON FUME FISH AVEN TRAITEUR;;00096768;LABEYRIE  
3560070195084;T62685;200G SAUMON FUME ATL PP BLANC      ;;00096768;LABEYRIE  
3033610071440;429540;250G SAUMON FUME PREPA CULINAIRE  *;;00096768;LABEYRIE  
3033617171778;S02612;300G SAUMON FUME ATL FISH AVEN     ;;00096768;LABEYRIE  
3560070842476;S72333;300G SAUMON FUME ATL PP BLANC      ;;00096768;LABEYRIE  
3033610064091;S87014;500G SAUMON FUME TRANCHETTE        ;;00096768;LABEYRIE  
3033610079637;S05108;700G SAUMON FUME ATL FISH AVEN     ;;00096768;LABEYRIE  
3033610063254;S19453;75G SAUMON ATLANTIQUE BIO 2TR      ;;00096768;LABEYRIE  
3033610078241;S38362;100G SAUMON FUME NORVEGE TRADITION ;;00096768;LABEYRIE  
3067163621241;S60064;130G SAUMON FUME SUP.NORVEGE 4TRRET;;00023788;DELPEYRAT 
3033610080220;S95231;190G SAUMON FUME NORV 6TR          ;;00096768;LABEYRIE  
3033610072270;S50003;240G SAUMON FUME NORV 6/8 PERS     ;;00096768;LABEYRIE  
3067163621227;S60065;65G SAUMON FUME SUP NORVEGE 2TR    ;;00023788;DELPEYRAT 
3033610070269;S02809;75G SAUMON FUMEE NORVEGE 2 TR      ;;00096768;LABEYRIE  
3033610072478;S21333;840G SAUMON FUME NORVEGE X24TR PL.T;;00096768;LABEYRIE  
3067163621258;S60066;130G SAUMON FUME SUP ECOSSE 4TR    ;;00023788;DELPEYRAT 
3033610080268;S95232;180G SAUMON FUME ECOSSE 6TR        ;;00096768;LABEYRIE  
3033610083573;S78572;220G SAUMON FUME ECOSSE 6/8 PERS   ;;00096768;LABEYRIE  
3067163621234;S60067;65G SAUMON FUME SUP ECOSSE 2TR     ;;00023788;DELPEYRAT 
3033610084358;S55533;75G SAUMON FUME ECOSSE 2TR         ;;00096768;LABEYRIE  
3033610079811;S19447;100G SAUMON SAUVAGE COHO PECHE LIGN;;00096768;LABEYRIE  
3033610076537;S50256;125G SAUMON FUME SOCKEYE           ;;00096768;LABEYRIE  
3033610077961;S98341;160G SAUMON FUME SAUVAGE ALASKA 6TR;;00096768;LABEYRIE  
3033610084518;S77237;300G SAUMON FUME SAUVAGE 10TR      ;;00096768;LABEYRIE  
3033610082309;S50258;100G SAUMON FUME EMINCE+SCE TERYAKI;;00096768;LABEYRIE  
