"AVENI","AVENI","1","ASP","","0.0","","1","LOG","AVENIR SERVICE SARL"
"14891","14891","1","IMPORT","","0.0","","1","LOG","CORBEILLE  (LA) NV/SA"
"15099","15099","1","IMPORT","","0.0","","1","LOG","MARTIN MARCEL"
"15177","15177","1","IMPORT","","0.0","","1","LOG","HAMLET N.V"
"15494","15494","1","IMPORT","","0.0","","1","LOG","IMPACT"
"15511","15511","1","IMPORT","","0.0","","1","LOG","JACOBY EMILE SARL"
"15580","15580","1","IMPORT","","0.0","","1","LOG","LA DURANCOLE SCA"
"15635","15635","1","IMPORT","","0.0","","1","LOG","T.T PLAST 62300 LENS"
"15688","15688","1","IMPORT","","0.0","","1","LOG","CAMPBELL FRANCE"
"15697","15697","1","IMPORT","","0.0","","1","LOG","SAEGB"
"15764","15764","1","IMPORT","","0.0","","1","LOG","LES MENUS DU MONDE"
"15779","15779","1","IMPORT","","0.0","","1","LOG","INPRALSA"
"15892","15892","1","IMPORT","","0.0","","1","LOG","SEGAFREDO ZANETTI"
"15909","15909","1","IMPORT","","0.0","","1","LOG","ZOBELE HOLDING"
"15995","15995","1","IMPORT","","0.0","","1","LOG","S.E.S.A"
"16048","16048","1","IMPORT","","0.0","","1","LOG","PLASTIBANA S A R L"
"16055","16055","1","IMPORT","","0.0","","1","LOG","NUTKAO S.R.L"
"16068","16068","1","IMPORT","","0.0","","1","LOG","VANIA EXPANSION"
"16104","16104","1","IMPORT","","0.0","","1","LOG","WILHEM REUSS GMBH & CO"
"16142","16142","1","IMPORT","","0.0","","1","LOG","CHANCERELLE"
"16224","16224","1","IMPORT","","0.0","","1","LOG","MOET HENNESSY"
"16281","16281","1","IMPORT","","0.0","","1","LOG","CHRIST SA"
"16376","16376","1","IMPORT","","0.0","","1","LOG","CARGILL   AOP"
"16413","16413","1","IMPORT","","0.0","","1","LOG","ALLIANCE BORDEAUX"
"16443","16443","1","IMPORT","","0.0","","1","LOG","ALPINA"
"16467","16467","1","IMPORT","","0.0","","1","LOG","DPF"
"16544","16544","1","IMPORT","","0.0","","1","LOG","CHARBONNEAUX BRABANT SA"
"16591","16591","1","IMPORT","","0.0","","1","LOG","CHANTIFRAIS"
"16779","16779","1","IMPORT","","0.0","","1","LOG","AZUREENNE DE CONFISERIE"
"16896","16896","1","IMPORT","","0.0","","1","LOG","MINERVE CONSERVERIE SA"
"16969","16969","1","IMPORT","","0.0","","1","LOG","SOUBRY JOSEPH S.A"
"17060","17060","1","IMPORT","","0.0","","1","LOG","CAPANELLE SARL"
"17202","17202","1","IMPORT","","0.0","","1","LOG","GAILLARD"
"17316","17316","1","IMPORT","","0.0","","1","LOG","CIRIO FRANCE"
"17706","17706","1","IMPORT","","0.0","","1","LOG","HEUDEBERT"
"17723","17723","1","IMPORT","","0.0","","1","LOG","FLAWA SA/P.A. R.F.EUROPE INTER"
"17724","17724","1","IMPORT","","0.0","","1","LOG","AR INDUSTRIE ALIMENTAIRE SPA"
"17735","17735","1","IMPORT","","0.0","","1","LOG","BARBIER ET CIE"
"17765","17765","1","IMPORT","","0.0","","1","LOG","LA BOULANGERE"
"17767","17767","1","IMPORT","","0.0","","1","LOG","LORENZ BAHLSEN  FRANCE"
"17793","17793","1","IMPORT","","0.0","","1","LOG","VIGNERONS MEDITERRANEE"
"17949","17949","1","IMPORT","","0.0","","1","LOG","CEREAL PARTNERS FRANCE"
"18006","18006","1","IMPORT","","0.0","","1","LOG","ROYAL J & C"
"18059","18059","1","IMPORT","","0.0","","1","LOG","NATURENVIE"
"18150","18150","1","IMPORT","","0.0","","1","LOG","KIESSLING KORPER"
"18163","18163","1","IMPORT","","0.0","","1","LOG","MONFRANCE SARL"
"18195","18195","1","IMPORT","","0.0","","1","LOG","IMKO GELRIA"
"18217","18217","1","IMPORT","","0.0","","1","LOG","DE KROES"
"18220","18220","1","IMPORT","","0.0","","1","LOG","DUC D'O CHOCOLATS"
"18225","18225","1","IMPORT","","0.0","","1","LOG","KINNERTON CONFECT"
"18266","18266","1","IMPORT","","0.0","","1","LOG","BRUGGEN"
"18268","18268","1","IMPORT","","0.0","","1","LOG","MERISSANT"
"18275","18275","1","IMPORT","","0.0","","1","LOG","S P C H"
"18308","18308","1","IMPORT","","0.0","","1","LOG","NICOLS FRANCE SARL"
"18378","18378","1","IMPORT","","0.0","","1","LOG","P.A.N.D.A. SA"
"18384","18384","1","IMPORT","","0.0","","1","LOG","ECUTRADE SA"
"18431","18431","1","IMPORT","","0.0","","1","LOG","SOPAFI S.A"
"18478","18478","1","IMPORT","","0.0","","1","LOG","MENKEN"
"18504","18504","1","IMPORT","","0.0","","1","LOG","NORMANDISE SA"
"18523","18523","1","IMPORT","","0.0","","1","LOG","THE JORDANS & RYVITA"
"18537","18537","1","IMPORT","","0.0","","1","LOG","NICE PAK"
"18547","18547","1","IMPORT","","0.0","","1","LOG","ATM    S A"
"18549","18549","1","IMPORT","","0.0","","1","LOG","FRINSA DEL NOROESTE"
"18568","18568","1","IMPORT","","0.0","","1","LOG","BROCHENIN JULES SA"
"18597","18597","1","IMPORT","","0.0","","1","LOG","ARTENAY AGRO DEVELOPPEMENT"
"18699","18699","1","IMPORT","","0.0","","1","LOG","COSTA SAL"
"18715","18715","1","IMPORT","","0.0","","1","LOG","LAS SRL"
"18762","18762","1","IMPORT","","0.0","","1","LOG","KELSEN"
"18763","18763","1","IMPORT","","0.0","","1","LOG","FETE LATINE"
"18785","18785","1","IMPORT","","0.0","","1","LOG","BON BON BUDDIES"
"18820","18820","1","IMPORT","","0.0","","1","LOG","CORNU FONTAIN"
"18835","18835","1","IMPORT","","0.0","","1","LOG","SOMACO"
"18862","18862","1","IMPORT","","0.0","","1","LOG","HOCHWALD"
"18866","18866","1","IMPORT","","0.0","","1","LOG","GBC JACQUET SEC"
"18944","18944","1","IMPORT","","0.0","","1","LOG","RALSTON ENERGY FRANCE"
"18949","18949","1","IMPORT","","0.0","","1","LOG","CAMPINA"
"18964","18964","1","IMPORT","","0.0","","1","LOG","LEGAL LEGOUT (LEPORQ ET"
"19000","19000","1","IMPORT","","0.0","","1","LOG","PRINSEN BV"
"19073","19073","1","IMPORT","","0.0","","1","LOG","SAVONNERIES BERNARD"
"19095","19095","1","IMPORT","","0.0","","1","LOG","LEMOINE SA"
"19100","19100","1","IMPORT","","0.0","","1","LOG","LARNAUDIE JEAN"
