"00725","00725","1","IMPORT","","0.0","","2","SOF","ICIBEX.............."
"00726","00726","1","IMPORT","","0.0","","2","SOF","VAMEL..............."
"00727","00727","1","IMPORT","","0.0","","2","SOF","CALIXTE............."
"00728","00728","1","IMPORT","","0.0","","2","SOF","COMP.GATIN.CHAGNOT-1"
"00731","00731","1","IMPORT","","0.0","","2","SOF","VALLEE.............."
"00732","00732","1","IMPORT","","0.0","","2","SOF","MONTAGNE NOIRE......"
"00733","00733","1","IMPORT","","0.0","","2","SOF","AUBERVAL............"
"00734","00734","1","IMPORT","","0.0","","2","SOF","SCOFF..............."
"00748","00748","1","IMPORT","","0.0","","2","SOF","FROMAGERIE OCCITANE."
"00749","00749","1","IMPORT","","0.0","","2","SOF","GRAND FERMAGE......."
"00750","00750","1","IMPORT","","0.0","","2","SOF","MADRANGE............"
"00751","00751","1","IMPORT","","0.0","","2","SOF","IDEA................"
"00752","00752","1","IMPORT","","0.0","","2","SOF","AUBRET.............."
"00754","00754","1","IMPORT","","0.0","","2","SOF","DELPIERRE..........."
"00755","00755","1","ASP","","0.0","","2","SOF","CONGELE ORIGINE MVI."
"00756","00756","1","IMPORT","","0.0","","2","SOF","SOGEDIAL DEPOT FROID"
"00757","00757","1","IMPORT","","0.0","","2","SOF","DOUX CONGELE ......."
"00758","00758","1","IMPORT","","0.0","","2","SOF","DAVIGEL SURGELE ...."
"00759","00759","1","IMPORT","","0.0","","2","SOF","BONDUELLE SURGELE .."
"00761","00761","1","IMPORT","","0.0","","2","SOF","SEB CONGELE ........"
"00762","00762","1","IMPORT","","0.0","","2","SOF","BRIGHT CO. LTD ....."
"00763","00763","1","IMPORT","","0.0","","2","SOF","MAC CAIN SURGELE ..."
"00764","00764","1","IMPORT","","0.0","","2","SOF","VIVAGEL SURGELE ...."
"00766","00766","1","IMPORT","","0.0","","2","SOF","OPTIVAL SURGELE ...."
"00767","00767","1","IMPORT","","0.0","","2","SOF","PESCANOVA SURGELE .."
"00768","00768","1","IMPORT","","0.0","","2","SOF","DAREGAL SURGELE ...."
"00769","00769","1","IMPORT","","0.0","","2","SOF","BOIRON SURGELE ....."
"00771","00771","1","ASP","","0.0","","2","SOF","APPRO. LOCAL DEPOT 3"
"00772","00772","1","IMPORT","","0.0","","2","SOF","ATELIER DEPOT 3 ...."
"00773","00773","1","IMPORT","","0.0","","2","SOF","ABCHEE CONGELE"
"00774","00774","1","IMPORT","","0.0","","2","SOF","INTERNAT. CONGELE..."
"00780","00780","1","IMPORT","","0.0","","2","SOF","POMONA.............."
"00781","00781","1","IMPORT","","0.0","","2","SOF","POMONA.............."
"00800","00800","1","IMPORT","","0.0","","2","SOF","GENERAL ARACHIDE - 3"
"00881","00881","1","IMPORT","","0.0","","2","SOF","SEC SOFRIMA........."
"00882","00882","1","IMPORT","","0.0","","2","SOF","FRAIS SOFRIMA ......"
"00899","00899","1","IMPORT","","0.0","","2","SOF","SOGEDIAL LE HAVRE..."
"00900","00900","1","IMPORT","","0.0","","2","SOF","HENKEL"
"00911","00911","1","IMPORT","","0.0","","2","SOF","LINDER"
"00920","00920","1","IMPORT","","0.0","","2","SOF","ISLAND-FOOD F&L....."
"00930","00930","1","IMPORT","","0.0","","2","SOF","ST DOMINGUE........."
"00940","00940","1","IMPORT","","0.0","","2","SOF","EURO.COND.1/2/6PAL-3"
"00941","00941","1","IMPORT","","0.0","","2","SOF","VERJAME-ST MAMET  87"
"00950","00950","1","IMPORT","","0.0","","2","SOF","CAMPINA............."
"00955","00955","1","ASP","","0.0","","2","SOF","FRALIB  32288"
"00970","00970","1","IMPORT","","0.0","","2","SOF","DARAS S.A."
"00971","00971","1","ASP","","0.0","","2","SOF","CAPES DOLE 0690/55/46/41 PT"
"00976","00976","1","IMPORT","","0.0","","2","SOF","MAC CANI(12095)MIN.1"
"00981","00981","1","IMPORT","","0.0","","2","SOF","NACO CONSERVES ET DI"
"00982","00982","1","IMPORT","","0.0","","2","SOF","SOPAFI -  018431"
"00984","00984","1","IMPORT","","0.0","","2","SOF","POULT BISCUIT. 06718"
"00985","00985","1","IMPORT","","0.0","","2","SOF","CORREZE CONSERVES"
"00986","00986","1","IMPORT","","0.0","","2","SOF","PRODIM OUEST CACI 34"
"00987","00987","1","IMPORT","","0.0","","2","SOF","MARS CONFISERIE"
"00988","00988","1","IMPORT","","0.0","","2","SOF","EXCELLA 1/3/5/7/10T-"
"00989","00989","1","IMPORT","","0.0","","2","SOF","CALVET VIA SOGEDIAL"
"00990","00990","1","IMPORT","","0.0","","2","SOF","SAMCO  (R. PATERNE)"
"00993","00993","1","IMPORT","","0.0","","2","SOF","BAYEUX PRODIS BOIS.7"
"00994","00994","1","IMPORT","","0.0","","2","SOF","DAILYCER 3/7/13PAL-3"
"00995","00995","1","IMPORT","","0.0","","2","SOF","GRAND MOULIN PARIS 3"
"00996","00996","1","IMPORT","","0.0","","2","SOF","SOGEDIAL LIQUIDE"
"00998","00998","1","IMPORT","","0.0","","2","SOF","POLY LINA  5/10PAL-1"
"01000","01000","1","IMPORT","","0.0","","2","SOF","ALIMENTOS NATURALES SA"
"01050","01050","1","IMPORT","","0.0","","2","SOF","AFIS INTERNATIONAL FOODS"
"01060","01060","1","IMPORT","","0.0","","2","SOF","ADKADIS"
"01124","01124","1","IMPORT","","0.0","","2","SOF","AMORA"
"01128","01128","1","IMPORT","","0.0","","2","SOF","DELICARTA"
"01339","01339","1","IMPORT","","0.0","","2","SOF","DR OETKER ANCEL"
"01340","01340","1","IMPORT","","0.0","","2","SOF","ANDROS"
"01801","01801","1","IMPORT","","0.0","","2","SOF","RAMROS TRADING COMPANY SL"
"01879","01879","1","IMPORT","","0.0","","2","SOF","CHAMPILOIRE"
"01951","01951","1","IMPORT","","0.0","","2","SOF","SAN CARLO"
"02056","02056","1","IMPORT","","0.0","","2","SOF","BIESTERFELD"
"02075","02075","1","IMPORT","","0.0","","2","SOF","CASERTA SNC"
"02313","02313","1","IMPORT","","0.0","","2","SOF","COMECO"
"02400","02400","1","IMPORT","","0.0","","2","SOF","EUROCAP FRANCE"
"02405","02405","1","IMPORT","","0.0","","2","SOF","EUROP TRADING MARKET"
"02544","02544","1","IMPORT","","0.0","","2","SOF","MAC CAIN SUNNYLAND"
"02550","02550","1","IMPORT","","0.0","","2","SOF","LABORATOIRE DE CREATION COSMET"
"02681","02681","1","IMPORT","","0.0","","2","SOF","SCHWEITZER S.A"
"02779","02779","1","IMPORT","","0.0","","2","SOF","VALDUE SA"
"02951","02951","1","IMPORT","","0.0","","2","SOF","RALSTON PURINA"
"02978","02978","1","IMPORT","","0.0","","2","SOF","GUIRAUD RAYMOND MARBOT"
"02988","02988","1","IMPORT","","0.0","","2","SOF","BARDINET"
"03081","03081","1","IMPORT","","0.0","","2","SOF","BAHLSEN ST MICHEL"
"03175","03175","1","IMPORT","","0.0","","2","SOF","DELOUIS FILS"
"03194","03194","1","IMPORT","","0.0","","2","SOF","CIA DELLE SPEZIE FRANCE"
"03363","03363","1","IMPORT","","0.0","","2","SOF","BARRAL PIERRE SA."
"03520","03520","1","IMPORT","","0.0","","2","SOF","FLOCH JEAN CONSERVES"
"03901","03901","1","IMPORT","","0.0","","2","SOF","MAP MARKETING AL"
"03930","03930","1","IMPORT","","0.0","","2","SOF","BASTE"
"04038","04038","1","IMPORT","","0.0","","2","SOF","JARNOUX CREPERIE SA"
"04113","04113","1","IMPORT","","0.0","","2","SOF","CHRISTIAN POTIER"
"04119","04119","1","IMPORT","","0.0","","2","SOF","DODY PLAST"
"04129","04129","1","IMPORT","","0.0","","2","SOF","MOUTARDIER JEAN SA."
"04131","04131","1","IMPORT","","0.0","","2","SOF","CHAMPAGNE BARON ALBERT"
"04174","04174","1","IMPORT","","0.0","","2","SOF","VALUE GUARANTEE SERVICE"
"04367","04367","1","IMPORT","","0.0","","2","SOF","LA PULPE SA"
"04466","04466","1","IMPORT","","0.0","","2","SOF","COVI SOLOGNE PERIGORD"
"04527","04527","1","IMPORT","","0.0","","2","SOF","PROPACK FRANCE"
"04738","04738","1","IMPORT","","0.0","","2","SOF","NATURALIM FRANCE MIEL S.A"
"05023","05023","1","IMPORT","","0.0","","2","SOF","MEO SOCIETE"
"05038","05038","1","IMPORT","","0.0","","2","SOF","EUROPE SNACKS SA"
"05122","05122","1","IMPORT","","0.0","","2","SOF","TEREOS"
"05157","05157","1","IMPORT","","0.0","","2","SOF","SOLUCO EUROPE"
"05185","05185","1","IMPORT","","0.0","","2","SOF","BERNAT"
"05262","05262","1","IMPORT","","0.0","","2","SOF","CONTINENTAL FOODS"
"05291","05291","1","IMPORT","","0.0","","2","SOF","ITALO SUISSE FRANCE"
"05305","05305","1","IMPORT","","0.0","","2","SOF","BOUCHARD L'ESCAUT"
"05505","05505","1","IMPORT","","0.0","","2","SOF","BALLANTINES SA"
"05772","05772","1","IMPORT","","0.0","","2","SOF","BALCONI DOLCIARIA"
"05773","05773","1","IMPORT","","0.0","","2","SOF","BONOMI V"
"05805","05805","1","IMPORT","","0.0","","2","SOF","COMPAGNIE DES SAVEURS"
"05851","05851","1","IMPORT","","0.0","","2","SOF","BONBONS DE FRANCE SA"
"05897","05897","1","IMPORT","","0.0","","2","SOF","VITAMONT SA"
"06000","06000","1","IMPORT","","0.0","","2","SOF","BOUQUET D'OR"
"06193","06193","1","IMPORT","","0.0","","2","SOF","FIMCO"
"06203","06203","1","IMPORT","","0.0","","2","SOF","NEPTUNE DISTRIBUTION SNC"
"06231","06231","1","IMPORT","","0.0","","2","SOF","PILLSBURY FRANCE/"
"06250","06250","1","IMPORT","","0.0","","2","SOF","CHOCMOD SA"
"06277","06277","1","IMPORT","","0.0","","2","SOF","NUTRITION ET SANTE"
"06566","06566","1","IMPORT","","0.0","","2","SOF","CONSERVERIE LANGUEDOCIENNE"
"06611","06611","1","IMPORT","","0.0","","2","SOF","BEZIERS CONSERVES"
"06696","06696","1","IMPORT","","0.0","","2","SOF","MERE POULARD BICUITS"
"06718","06718","1","IMPORT","","0.0","","2","SOF","POULT BISCUITERIE"
"06726","06726","1","IMPORT","","0.0","","2","SOF","MEYER SANSBOEUF SA"
"06983","06983","1","IMPORT","","0.0","","2","SOF","CREPERIE LE ROUX"
"07010","07010","1","IMPORT","","0.0","","2","SOF","LACTALIS DELIS"
"07145","07145","1","IMPORT","","0.0","","2","SOF","JASOL S.A"
"07153","07153","1","IMPORT","","0.0","","2","SOF","ALL CRUMP"
"07189","07189","1","IMPORT","","0.0","","2","SOF","COVI UNION P.C.A"
"07310","07310","1","IMPORT","","0.0","","2","SOF","LAITERIE ST DENIS DE L'HOTEL"
"07343","07343","1","IMPORT","","0.0","","2","SOF","COROOS"
"07360","07360","1","IMPORT","","0.0","","2","SOF","BISCUITERIE NANTAISE"
"07511","07511","1","IMPORT","","0.0","","2","SOF","CIE DETERGENTS SAVON MARSEILLE"
"07565","07565","1","IMPORT","","0.0","","2","SOF","DEOFLOR SPA"
"07597","07597","1","IMPORT","","0.0","","2","SOF","PERSONNA INTERNATIONAL"
"07634","07634","1","IMPORT","","0.0","","2","SOF","CGC CONSERVES MORBIHANNAISES"
"07824","07824","1","IMPORT","","0.0","","2","SOF","ELLIPSE SARL"
"07903","07903","1","IMPORT","","0.0","","2","SOF","BROSSARD FRANCE"
